,Вопрос,1,2,3,4,Правильный ответ
0,"Как же, согласно поговорке, все-таки там, где нас нет?",Тепло,Сытно,Хорошо,Весело,3.0
4,Какую спортивную игру начинают не с подачи?,Теннис,Волейбол,Баскетбол,Бадминтон,3.0
9,На чьи стихи написана песня «День победы?»,Добронравов,Матусовский,Харитонов,Ошанин,3.0
10,Кто регулярно тушит свет на канале НТВ?,Лев Новожёнов,Леонид Парфёнов,Елена Ханга,Анатолий Чубайс,1.0
11,"По мнению пословицы, плох солдат, который не мечтает стать кем?",Маршалом,Генералом,Полковником,Дембелем,2.0
13,В основе сюжета какого телесериала не лежат криминальные события современности?,«Убойная сила»,«Улицы разбитых фонарей»,«Петербургские тайны»,«Бандитский Петербург»,3.0
16,"У какого народа утвердительный, в нашем понимании, кивок головой означает отрицание?",Болгары,Чехи,Венгры,Поляки,1.0
18,Какой фильм Сергея Герасимова стал дебютным для целой плеяды молодых кинозвёзд?,«Молодая гвардия»,«Семеро смелых»,«Юность Петра»,«Тихий Дон»,1.0
23,"Название какого из этих городов связано не с добычей, а с переработкой нефти?",Нефтегорск,Нефтекамск,Нефтекумск,Нефтеюганск,1.0
24,Что совершил герой греческой мифологии Геракл?,12 подвигов,12 деяний,12 поступков,12 побегов,1.0
25,Что Петруха из «Белого солнца пустыни» просил у Гюльчатай?,Открыть личико,Открыть сердце,Открыть глаза,Открыть огонь,1.0
27,Какая из этих птиц не относится к водоплавающим?,Утка,Гусь,Цапля,Лебедь,3.0
29,В какой стране разворачивались события телесериала «Кабачок 13 стульев»?,Болгария,Румыния,Польша,Чехословакия,3.0
30,О какой погоде в народе говорят: «Стоит вёдро»? ,Дождливой,Снежной,Ясной,Облачной,3.0
32,Какая угроза не входила в «джентльменский набор» Доцента из знаменитого фильма?,Рога поотшибаю!,Моргалы выколю!,Пасть порву!,Ухо откушу!,4.0
33,"Что известная поговорка советует знать тому, кто врёт?",Меру,Рамки,Лимит,Регламент,1.0
35,Чью идиллическую жизнь на лоне природы изображала средневековая пастораль?,Мельников,Пастухов,Землепашцев,Охотников,2.0
37,Что Вячеслав Добрынин умолял не сыпать ему на рану в одной из своих песен?,соль,сахар,перец,стрептоцид,1.0
38,"Что царь Гордий завязал так, что Александру Македонскому пришлось взяться за меч?",шнурки,бант,узел,беседу,3.0
40,Какое объединение характерно для профессиональных адвокатов?,коллегия,ассоциация,альянс,союз,1.0
41,Какого статуса своих домов сумели добиться от властей англичане?,цитадель,крепость,замок,блиндаж,2.0
42,Какой из этих алкогольных напитков не употребляют в горячем виде?,грог,пунш,крюшон,глинтвейн,3.0
44,Из какого материала изготавливается керамическая посуда?,стекло,глина,гипс,пластик,2.0
45,Устройством какого из этих инструментов не предусмотрены меха для нагнетания воздуха?,волынка,валторна,орган,шарманка,2.0
47,"Какое сравнение не использовал Пушкин, противопоставляя Онегина и Ленского?",волна и камень,стихи и проза,земля и небо,лёд и пламень,3.0
48,От какой империи Россия унаследовала двуглавого орла на гербе?,Византийской,Римской,Османской,Китайской,1.0
49,Команда какой страны стала победительницей первого чемпионата мира по футболу?,Уругвай,Ямайка,Бразилия,Аргентина,1.0
53,Какой лозунг не звучал в революционной пропаганде большевиков?,«Власть — рабочим!»,«Хлеб — голодным!»,«Землю — крестьянам!»,«Свободу Юрию Деточкину!»,4.0
